District,Year,Offence Group,Total Number of Offences
Armadale District,11,Drug Possession,527.0
Armadale District,11,Forgery,7.0
Armadale District,11,Fraud (Credit Card),0.0
Armadale District,11,Fraud (Not Elsewhere Classified),501.0
Armadale District,11,Graffiti,381.0
Armadale District,11,Kidnapping / Child Stealing,1.0
Armadale District,11,Manslaughter,1.0
Armadale District,11,Murder,2.0
Armadale District,11,Non-Assaultive Sexual Offences,46.0
Armadale District,11,Other Drug Offences,3.0
Armadale District,11,Other Fire Related Offences,0.0
Armadale District,11,Possess Stolen Property,76.0
Armadale District,11,Possess Weapon to Cause Fear (Family),18.0
Armadale District,11,Possess Weapon to Cause Fear (Non-Family),69.0
Armadale District,11,Possession of Drug Paraphernalia,244.0
Armadale District,11,Receiving Stolen Property,28.0
Armadale District,11,Regulated Weapons Offences,134.0
Armadale District,11,Robbery (Business),21.0
Armadale District,11,Robbery (Non-Business),111.0
Armadale District,11,Serious Assault (Family),179.0
Armadale District,11,Serious Assault (Non-Family),274.0
Armadale District,11,Sexual Assault,338.0
Armadale District,11,Stealing (Not Elsewhere Classified),5355.0
Armadale District,11,Stealing From Dwelling,0.0
Armadale District,11,Stealing From Motor Vehicle (Contents or Parts),0.0
Armadale District,11,Stealing From Other Premises or Place,0.0
Armadale District,11,Stealing From Retail Premises (Shoplift),0.0
Armadale District,11,Stealing as a Servant,29.0
Armadale District,11,Stealing of Motor Vehicle,778.0
Armadale District,11,Threatening Behaviour (Family),115.0
Armadale District,11,Threatening Behaviour (Non-Family),109.0
Armadale District,12,Assault Police Officer,55.0
Armadale District,12,Attempted / Conspiracy to Murder,2.0
Armadale District,12,Breach of Family Violence Restraint Order,718.0
Armadale District,12,Breach of Police Order,118.0
Armadale District,12,Breach of Violence Restraint Order,100.0
Armadale District,12,Burglary (Dwelling),2633.0
Armadale District,12,Burglary (Non-Dwelling),729.0
Armadale District,12,Cause Bushfire,11.0
Armadale District,12,Cause Damage by Fire,70.0
Armadale District,12,Common Assault (Family),990.0
Armadale District,12,Common Assault (Non-Family),490.0
Armadale District,12,Criminal Damage,327.0
Armadale District,12,Cultivate or Manufacture Drugs,112.0
Armadale District,12,Damage,2563.0
Armadale District,12,Deprivation of Liberty,27.0
Armadale District,12,Driving Causing Death,5.0
Armadale District,12,Drug Dealing,151.0
Armadale District,12,Drug Possession,680.0
Armadale District,12,Forgery,14.0
Armadale District,12,Fraud (Credit Card),0.0
Armadale District,12,Fraud (Not Elsewhere Classified),2306.0
Armadale District,12,Graffiti,343.0
Armadale District,12,Kidnapping / Child Stealing,3.0
Armadale District,12,Manslaughter,2.0
Armadale District,12,Murder,3.0
Armadale District,12,Non-Assaultive Sexual Offences,46.0
Armadale District,12,Other Drug Offences,4.0
Armadale District,12,Other Fire Related Offences,1.0
Armadale District,12,Possess Stolen Property,149.0
Armadale District,12,Possess Weapon to Cause Fear (Family),32.0
Armadale District,12,Possess Weapon to Cause Fear (Non-Family),92.0
Armadale District,12,Possession of Drug Paraphernalia,393.0
Armadale District,12,Receiving Stolen Property,53.0
Armadale District,12,Regulated Weapons Offences,255.0
Armadale District,12,Robbery (Business),20.0
Armadale District,12,Robbery (Non-Business),138.0
Armadale District,12,Serious Assault (Family),229.0
Armadale District,12,Serious Assault (Non-Family),271.0
Armadale District,12,Sexual Assault,287.0
Armadale District,12,Stealing (Not Elsewhere Classified),6161.0
Armadale District,12,Stealing From Dwelling,0.0
Armadale District,12,Stealing From Motor Vehicle (Contents or Parts),0.0
Armadale District,12,Stealing From Other Premises or Place,0.0
Armadale District,12,Stealing From Retail Premises (Shoplift),0.0
Armadale District,12,Stealing as a Servant,26.0
Armadale District,12,Stealing of Motor Vehicle,817.0
Armadale District,12,Threatening Behaviour (Family),194.0
Armadale District,12,Threatening Behaviour (Non-Family),134.0
Armadale District,13,Assault Police Officer,40.0
Armadale District,13,Attempted / Conspiracy to Murder,1.0
Armadale District,13,Breach of Family Violence Restraint Order,700.0
Armadale District,13,Breach of Police Order,95.0
Armadale District,13,Breach of Violence Restraint Order,82.0
Armadale District,13,Burglary (Dwelling),2646.0
Armadale District,13,Burglary (Non-Dwelling),780.0
Armadale District,13,Cause Bushfire,4.0
Armadale District,13,Cause Damage by Fire,81.0
Armadale District,13,Common Assault (Family),1116.0
Armadale District,13,Common Assault (Non-Family),483.0
Armadale District,13,Criminal Damage,464.0
Armadale District,13,Cultivate or Manufacture Drugs,93.0
Armadale District,13,Damage,2523.0
Armadale District,13,Deprivation of Liberty,25.0
Armadale District,13,Driving Causing Death,6.0
Armadale District,13,Drug Dealing,186.0
Armadale District,13,Drug Possession,728.0
Armadale District,13,Forgery,18.0
Armadale District,13,Fraud (Credit Card),0.0
Armadale District,13,Fraud (Not Elsewhere Classified),2852.0
Armadale District,13,Graffiti,280.0
Armadale District,13,Kidnapping / Child Stealing,1.0
Armadale District,13,Manslaughter,0.0
Armadale District,13,Murder,2.0
Armadale District,13,Non-Assaultive Sexual Offences,58.0
Armadale District,13,Other Drug Offences,6.0
Armadale District,13,Other Fire Related Offences,4.0
Armadale District,13,Possess Stolen Property,214.0
Armadale District,13,Possess Weapon to Cause Fear (Family),31.0
Armadale District,13,Possess Weapon to Cause Fear (Non-Family),105.0
Armadale District,13,Possession of Drug Paraphernalia,425.0
Armadale District,13,Receiving Stolen Property,27.0
Armadale District,13,Regulated Weapons Offences,275.0
Armadale District,13,Robbery (Business),17.0
Armadale District,13,Robbery (Non-Business),126.0
Armadale District,13,Serious Assault (Family),196.0
Armadale District,13,Serious Assault (Non-Family),312.0
Armadale District,13,Sexual Assault,261.0
Armadale District,13,Stealing (Not Elsewhere Classified),5693.0
Armadale District,13,Stealing From Dwelling,0.0
Armadale District,13,Stealing From Motor Vehicle (Contents or Parts),0.0
Armadale District,13,Stealing From Other Premises or Place,0.0
Armadale District,13,Stealing From Retail Premises (Shoplift),0.0
Armadale District,13,Stealing as a Servant,27.0
Armadale District,13,Stealing of Motor Vehicle,888.0
Armadale District,13,Threatening Behaviour (Family),134.0
Armadale District,13,Threatening Behaviour (Non-Family),149.0
Armadale District,14,Assault Police Officer,45.0
Armadale District,14,Attempted / Conspiracy to Murder,1.0
Armadale District,14,Breach of Family Violence Restraint Order,507.0
Armadale District,14,Breach of Police Order,118.0
Armadale District,14,Breach of Violence Restraint Order,218.0
Armadale District,14,Burglary (Dwelling),2431.0
Armadale District,14,Burglary (Non-Dwelling),638.0
Armadale District,14,Cause Bushfire,11.0
Armadale District,14,Cause Damage by Fire,98.0
Armadale District,14,Common Assault (Family),1240.0
Armadale District,14,Common Assault (Non-Family),554.0
Armadale District,14,Criminal Damage,479.0
Armadale District,14,Cultivate or Manufacture Drugs,75.0
Armadale District,14,Damage,2101.0
Armadale District,14,Deprivation of Liberty,26.0
Armadale District,14,Driving Causing Death,3.0
Armadale District,14,Drug Dealing,188.0
Armadale District,14,Drug Possession,899.0
Armadale District,14,Forgery,15.0
Armadale District,14,Fraud (Credit Card),0.0
Armadale District,14,Fraud (Not Elsewhere Classified),1663.0
Armadale District,14,Graffiti,174.0
Armadale District,14,Kidnapping / Child Stealing,1.0
Armadale District,14,Manslaughter,0.0
Armadale District,14,Murder,1.0
Armadale District,14,Non-Assaultive Sexual Offences,128.0
Armadale District,14,Other Drug Offences,10.0
Armadale District,14,Other Fire Related Offences,5.0
Armadale District,14,Possess Stolen Property,222.0
Armadale District,14,Possess Weapon to Cause Fear (Family),52.0
Armadale District,14,Possess Weapon to Cause Fear (Non-Family),128.0
Armadale District,14,Possession of Drug Paraphernalia,590.0
Armadale District,14,Receiving Stolen Property,44.0
Armadale District,14,Regulated Weapons Offences,332.0
Armadale District,14,Robbery (Business),23.0
Armadale District,14,Robbery (Non-Business),113.0
Armadale District,14,Serious Assault (Family),210.0
Armadale District,14,Serious Assault (Non-Family),276.0
Armadale District,14,Sexual Assault,473.0
Armadale District,14,Stealing (Not Elsewhere Classified),6772.0
Armadale District,14,Stealing From Dwelling,0.0
Armadale District,14,Stealing From Motor Vehicle (Contents or Parts),0.0
Armadale District,14,Stealing From Other Premises or Place,0.0
Armadale District,14,Stealing From Retail Premises (Shoplift),0.0
Armadale District,14,Stealing as a Servant,19.0
Armadale District,14,Stealing of Motor Vehicle,763.0
Armadale District,14,Threatening Behaviour (Family),168.0
Armadale District,14,Threatening Behaviour (Non-Family),144.0
Armadale District,15,Assault Police Officer,51.0
Armadale District,15,Attempted / Conspiracy to Murder,1.0
Armadale District,15,Breach of Family Violence Restraint Order,858.0
Armadale District,15,Breach of Police Order,159.0
Armadale District,15,Breach of Violence Restraint Order,165.0
Armadale District,15,Burglary (Dwelling),2730.0
Armadale District,15,Burglary (Non-Dwelling),773.0
Armadale District,15,Cause Bushfire,6.0
Armadale District,15,Cause Damage by Fire,86.0
Armadale District,15,Common Assault (Family),1486.0
Armadale District,15,Common Assault (Non-Family),600.0
Armadale District,15,Criminal Damage,625.0
Armadale District,15,Cultivate or Manufacture Drugs,60.0
Armadale District,15,Damage,2588.0
Armadale District,15,Deprivation of Liberty,24.0
Armadale District,15,Driving Causing Death,8.0
Armadale District,15,Drug Dealing,233.0
Armadale District,15,Drug Possession,1193.0
Armadale District,15,Forgery,31.0
Armadale District,15,Fraud (Credit Card),0.0
Armadale District,15,Fraud (Not Elsewhere Classified),1861.0
Armadale District,15,Graffiti,475.0
Armadale District,15,Kidnapping / Child Stealing,4.0
Armadale District,15,Manslaughter,1.0
Armadale District,15,Murder,3.0
Armadale District,15,Non-Assaultive Sexual Offences,85.0
Armadale District,15,Other Drug Offences,9.0
Armadale District,15,Other Fire Related Offences,12.0
Armadale District,15,Possess Stolen Property,321.0
Armadale District,15,Possess Weapon to Cause Fear (Family),70.0
Armadale District,15,Possess Weapon to Cause Fear (Non-Family),145.0
Armadale District,15,Possession of Drug Paraphernalia,837.0
Armadale District,15,Receiving Stolen Property,38.0
Armadale District,15,Regulated Weapons Offences,424.0
Armadale District,15,Robbery (Business),22.0
Armadale District,15,Robbery (Non-Business),114.0
Armadale District,15,Serious Assault (Family),274.0
Armadale District,15,Serious Assault (Non-Family),316.0
Armadale District,15,Sexual Assault,356.0
Armadale District,15,Stealing (Not Elsewhere Classified),8046.0
Armadale District,15,Stealing From Dwelling,0.0
Armadale District,15,Stealing From Motor Vehicle (Contents or Parts),0.0
Armadale District,15,Stealing From Other Premises or Place,0.0
Armadale District,15,Stealing From Retail Premises (Shoplift),0.0
Armadale District,15,Stealing as a Servant,14.0
Armadale District,15,Stealing of Motor Vehicle,822.0
Armadale District,15,Threatening Behaviour (Family),170.0
Armadale District,15,Threatening Behaviour (Non-Family),144.0
Armadale District,16,Assault Police Officer,61.0
Armadale District,16,Attempted / Conspiracy to Murder,0.0
Armadale District,16,Breach of Family Violence Restraint Order,999.0
Armadale District,16,Breach of Police Order,192.0
Armadale District,16,Breach of Violence Restraint Order,165.0
Armadale District,16,Burglary (Dwelling),2788.0
Armadale District,16,Burglary (Non-Dwelling),844.0
Armadale District,16,Cause Bushfire,10.0
Armadale District,16,Cause Damage by Fire,86.0
Armadale District,16,Common Assault (Family),1715.0
Armadale District,16,Common Assault (Non-Family),725.0
Armadale District,16,Criminal Damage,780.0
Armadale District,16,Cultivate or Manufacture Drugs,69.0
Armadale District,16,Damage,2393.0
Armadale District,16,Deprivation of Liberty,31.0
Armadale District,16,Driving Causing Death,3.0
Armadale District,16,Drug Dealing,271.0
Armadale District,16,Drug Possession,1633.0
Armadale District,16,Forgery,26.0
Armadale District,16,Fraud (Credit Card),0.0
Armadale District,16,Fraud (Not Elsewhere Classified),1344.0
Armadale District,16,Graffiti,212.0
Armadale District,16,Kidnapping / Child Stealing,3.0
Armadale District,16,Manslaughter,0.0
Armadale District,16,Murder,2.0
Armadale District,16,Non-Assaultive Sexual Offences,111.0
Armadale District,16,Other Drug Offences,11.0
Armadale District,16,Other Fire Related Offences,4.0
Armadale District,16,Possess Stolen Property,366.0
Armadale District,16,Possess Weapon to Cause Fear (Family),86.0
Armadale District,16,Possess Weapon to Cause Fear (Non-Family),195.0
Armadale District,16,Possession of Drug Paraphernalia,1090.0
Armadale District,16,Receiving Stolen Property,53.0
Armadale District,16,Regulated Weapons Offences,635.0
Armadale District,16,Robbery (Business),24.0
Armadale District,16,Robbery (Non-Business),137.0
Armadale District,16,Serious Assault (Family),277.0
Armadale District,16,Serious Assault (Non-Family),386.0
Armadale District,16,Sexual Assault,354.0
Armadale District,16,Stealing (Not Elsewhere Classified),8026.0
Armadale District,16,Stealing From Dwelling,0.0
Armadale District,16,Stealing From Motor Vehicle (Contents or Parts),0.0
Armadale District,16,Stealing From Other Premises or Place,0.0
Armadale District,16,Stealing From Retail Premises (Shoplift),0.0
Armadale District,16,Stealing as a Servant,11.0
Armadale District,16,Stealing of Motor Vehicle,813.0
Armadale District,16,Threatening Behaviour (Family),239.0
Armadale District,16,Threatening Behaviour (Non-Family),164.0
Armadale District,17,Assault Police Officer,57.0
Armadale District,17,Attempted / Conspiracy to Murder,6.0
Armadale District,17,Breach of Family Violence Restraint Order,896.0
Armadale District,17,Breach of Police Order,162.0
Armadale District,17,Breach of Violence Restraint Order,74.0
Armadale District,17,Burglary (Dwelling),2501.0
Armadale District,17,Burglary (Non-Dwelling),531.0
Armadale District,17,Cause Bushfire,18.0
Armadale District,17,Cause Damage by Fire,53.0
Armadale District,17,Common Assault (Family),1496.0
Armadale District,17,Common Assault (Non-Family),705.0
Armadale District,17,Criminal Damage,608.0
Armadale District,17,Cultivate or Manufacture Drugs,83.0
Armadale District,17,Damage,1987.0
Armadale District,17,Deprivation of Liberty,27.0
Armadale District,17,Driving Causing Death,3.0
Armadale District,17,Drug Dealing,231.0
Armadale District,17,Drug Possession,1551.0
Armadale District,17,Forgery,29.0
Armadale District,17,Fraud (Credit Card),1424.0
Armadale District,17,Fraud (Not Elsewhere Classified),645.0
Armadale District,17,Graffiti,110.0
Armadale District,17,Kidnapping / Child Stealing,3.0
Armadale District,17,Manslaughter,0.0
Armadale District,17,Murder,3.0
Armadale District,17,Non-Assaultive Sexual Offences,78.0
Armadale District,17,Other Drug Offences,19.0
Armadale District,17,Other Fire Related Offences,6.0
Armadale District,17,Possess Stolen Property,292.0
Armadale District,17,Possess Weapon to Cause Fear (Family),57.0
Armadale District,17,Possess Weapon to Cause Fear (Non-Family),189.0
Armadale District,17,Possession of Drug Paraphernalia,955.0
Armadale District,17,Receiving Stolen Property,25.0
Armadale District,17,Regulated Weapons Offences,525.0
Armadale District,17,Robbery (Business),14.0
Armadale District,17,Robbery (Non-Business),129.0
Armadale District,17,Serious Assault (Family),242.0
Armadale District,17,Serious Assault (Non-Family),358.0
Armadale District,17,Sexual Assault,488.0
Armadale District,17,Stealing (Not Elsewhere Classified),3283.0
Armadale District,17,Stealing From Dwelling,742.0
Armadale District,17,Stealing From Motor Vehicle (Contents or Parts),1320.0
Armadale District,17,Stealing From Other Premises or Place,1293.0
Armadale District,17,Stealing From Retail Premises (Shoplift),834.0
Armadale District,17,Stealing as a Servant,14.0
Armadale District,17,Stealing of Motor Vehicle,755.0
Armadale District,17,Threatening Behaviour (Family),197.0
Armadale District,17,Threatening Behaviour (Non-Family),197.0
Armadale District,18,Assault Police Officer,54.0
Armadale District,18,Attempted / Conspiracy to Murder,4.0
Armadale District,18,Breach of Family Violence Restraint Order,1030.0
Armadale District,18,Breach of Police Order,153.0
Armadale District,18,Breach of Violence Restraint Order,98.0
Armadale District,18,Burglary (Dwelling),2835.0
Armadale District,18,Burglary (Non-Dwelling),710.0
Armadale District,18,Cause Bushfire,32.0
Armadale District,18,Cause Damage by Fire,52.0
Armadale District,18,Common Assault (Family),1462.0
Armadale District,18,Common Assault (Non-Family),606.0
Armadale District,18,Criminal Damage,520.0
Armadale District,18,Cultivate or Manufacture Drugs,66.0
Armadale District,18,Damage,1899.0
Armadale District,18,Deprivation of Liberty,47.0
Armadale District,18,Driving Causing Death,1.0
Armadale District,18,Drug Dealing,190.0
Armadale District,18,Drug Possession,1636.0
Armadale District,18,Forgery,26.0
Armadale District,18,Fraud (Credit Card),2621.0
Armadale District,18,Fraud (Not Elsewhere Classified),220.0
Armadale District,18,Graffiti,105.0
Armadale District,18,Kidnapping / Child Stealing,1.0
Armadale District,18,Manslaughter,0.0
Armadale District,18,Murder,3.0
Armadale District,18,Non-Assaultive Sexual Offences,125.0
Armadale District,18,Other Drug Offences,25.0
Armadale District,18,Other Fire Related Offences,6.0
Armadale District,18,Possess Stolen Property,297.0
Armadale District,18,Possess Weapon to Cause Fear (Family),43.0
Armadale District,18,Possess Weapon to Cause Fear (Non-Family),163.0
Armadale District,18,Possession of Drug Paraphernalia,1016.0
Armadale District,18,Receiving Stolen Property,32.0
Armadale District,18,Regulated Weapons Offences,476.0
Armadale District,18,Robbery (Business),23.0
Armadale District,18,Robbery (Non-Business),134.0
Armadale District,18,Serious Assault (Family),225.0
Armadale District,18,Serious Assault (Non-Family),336.0
Armadale District,18,Sexual Assault,537.0
Armadale District,18,Stealing (Not Elsewhere Classified),0.0
Armadale District,18,Stealing From Dwelling,1441.0
Armadale District,18,Stealing From Motor Vehicle (Contents or Parts),3266.0
Armadale District,18,Stealing From Other Premises or Place,2496.0
Armadale District,18,Stealing From Retail Premises (Shoplift),2042.0
Armadale District,18,Stealing as a Servant,20.0
Armadale District,18,Stealing of Motor Vehicle,701.0
Armadale District,18,Threatening Behaviour (Family),238.0
Armadale District,18,Threatening Behaviour (Non-Family),188.0
Armadale District,19,Assault Police Officer,54.0
Armadale District,19,Attempted / Conspiracy to Murder,2.0
Armadale District,19,Breach of Family Violence Restraint Order,943.0
Armadale District,19,Breach of Police Order,231.0
Armadale District,19,Breach of Violence Restraint Order,61.0
Armadale District,19,Burglary (Dwelling),2543.0
Armadale District,19,Burglary (Non-Dwelling),542.0
Armadale District,19,Cause Bushfire,22.0
Armadale District,19,Cause Damage by Fire,73.0
Armadale District,19,Common Assault (Family),1564.0
Armadale District,19,Common Assault (Non-Family),580.0
Armadale District,19,Criminal Damage,536.0
Armadale District,19,Cultivate or Manufacture Drugs,84.0
Armadale District,19,Damage,1947.0
Armadale District,19,Deprivation of Liberty,34.0
Armadale District,19,Driving Causing Death,6.0
Armadale District,19,Drug Dealing,191.0
Armadale District,19,Drug Possession,1740.0
Armadale District,19,Forgery,13.0
Armadale District,19,Fraud (Credit Card),2543.0
Armadale District,19,Fraud (Not Elsewhere Classified),277.0
Armadale District,19,Graffiti,100.0
Armadale District,19,Kidnapping / Child Stealing,1.0
Armadale District,19,Manslaughter,2.0
Armadale District,19,Murder,1.0
Armadale District,19,Non-Assaultive Sexual Offences,125.0
Armadale District,19,Other Drug Offences,53.0
Armadale District,19,Other Fire Related Offences,4.0
Armadale District,19,Possess Stolen Property,366.0
Armadale District,19,Possess Weapon to Cause Fear (Family),70.0
Armadale District,19,Possess Weapon to Cause Fear (Non-Family),177.0
Armadale District,19,Possession of Drug Paraphernalia,1047.0
Armadale District,19,Receiving Stolen Property,30.0
Armadale District,19,Regulated Weapons Offences,587.0
Armadale District,19,Robbery (Business),16.0
Armadale District,19,Robbery (Non-Business),141.0
Armadale District,19,Serious Assault (Family),358.0
Armadale District,19,Serious Assault (Non-Family),374.0
Armadale District,19,Sexual Assault,471.0
Armadale District,19,Stealing (Not Elsewhere Classified),0.0
Armadale District,19,Stealing From Dwelling,1431.0
Armadale District,19,Stealing From Motor Vehicle (Contents or Parts),2528.0
Armadale District,19,Stealing From Other Premises or Place,2175.0
Armadale District,19,Stealing From Retail Premises (Shoplift),2992.0
Armadale District,19,Stealing as a Servant,27.0
Armadale District,19,Stealing of Motor Vehicle,647.0
Armadale District,19,Threatening Behaviour (Family),301.0
Armadale District,19,Threatening Behaviour (Non-Family),205.0
Armadale District,20,Assault Police Officer,10.0
Armadale District,20,Attempted / Conspiracy to Murder,0.0
Armadale District,20,Breach of Family Violence Restraint Order,227.0
Armadale District,20,Breach of Police Order,83.0
Armadale District,20,Breach of Violence Restraint Order,8.0
Armadale District,20,Burglary (Dwelling),624.0
Armadale District,20,Burglary (Non-Dwelling),182.0
Armadale District,20,Cause Bushfire,22.0
Armadale District,20,Cause Damage by Fire,14.0
Armadale District,20,Common Assault (Family),524.0
Armadale District,20,Common Assault (Non-Family),179.0
Armadale District,20,Criminal Damage,175.0
Armadale District,20,Cultivate or Manufacture Drugs,26.0
Armadale District,20,Damage,503.0
Armadale District,20,Deprivation of Liberty,7.0
Armadale District,20,Driving Causing Death,1.0
Armadale District,20,Drug Dealing,37.0
Armadale District,20,Drug Possession,345.0
Armadale District,20,Forgery,5.0
Armadale District,20,Fraud (Credit Card),579.0
Armadale District,20,Fraud (Not Elsewhere Classified),56.0
Armadale District,20,Graffiti,21.0
Armadale District,20,Kidnapping / Child Stealing,1.0
Armadale District,20,Manslaughter,0.0
Armadale District,20,Murder,0.0
Armadale District,20,Non-Assaultive Sexual Offences,20.0
Armadale District,20,Other Drug Offences,21.0
Armadale District,20,Other Fire Related Offences,2.0
Armadale District,20,Possess Stolen Property,56.0
Armadale District,20,Possess Weapon to Cause Fear (Family),15.0
Armadale District,20,Possess Weapon to Cause Fear (Non-Family),48.0
Armadale District,20,Possession of Drug Paraphernalia,205.0
Armadale District,20,Receiving Stolen Property,4.0
Armadale District,20,Regulated Weapons Offences,99.0
Armadale District,20,Robbery (Business),5.0
Armadale District,20,Robbery (Non-Business),45.0
Armadale District,20,Serious Assault (Family),104.0
Armadale District,20,Serious Assault (Non-Family),121.0
Armadale District,20,Sexual Assault,123.0
Armadale District,20,Stealing (Not Elsewhere Classified),0.0
Armadale District,20,Stealing From Dwelling,361.0
Armadale District,20,Stealing From Motor Vehicle (Contents or Parts),614.0
Armadale District,20,Stealing From Other Premises or Place,503.0
Armadale District,20,Stealing From Retail Premises (Shoplift),576.0
Armadale District,20,Stealing as a Servant,2.0
Armadale District,20,Stealing of Motor Vehicle,165.0
Armadale District,20,Threatening Behaviour (Family),99.0
Armadale District,20,Threatening Behaviour (Non-Family),42.0
Cannington District,10,Assault Police Officer,54.0
Cannington District,10,Attempted / Conspiracy to Murder,2.0
Cannington District,10,Breach of Family Violence Restraint Order,277.0
Cannington District,10,Breach of Police Order,56.0
Cannington District,10,Breach of Violence Restraint Order,104.0
Cannington District,10,Burglary (Dwelling),3479.0
Cannington District,10,Burglary (Non-Dwelling),682.0
Cannington District,10,Cause Bushfire,4.0
Cannington District,10,Cause Damage by Fire,83.0
Cannington District,10,Common Assault (Family),534.0
Cannington District,10,Common Assault (Non-Family),608.0
Cannington District,10,Criminal Damage,342.0
Cannington District,10,Cultivate or Manufacture Drugs,60.0
Cannington District,10,Damage,2818.0
Cannington District,10,Deprivation of Liberty,27.0
Cannington District,10,Driving Causing Death,3.0
Cannington District,10,Drug Dealing,125.0
Cannington District,10,Drug Possession,707.0
Cannington District,10,Forgery,23.0
Cannington District,10,Fraud (Credit Card),0.0
Cannington District,10,Fraud (Not Elsewhere Classified),1115.0
Cannington District,10,Graffiti,555.0
Cannington District,10,Kidnapping / Child Stealing,1.0
Cannington District,10,Manslaughter,0.0
Cannington District,10,Murder,2.0
Cannington District,10,Non-Assaultive Sexual Offences,88.0
Cannington District,10,Other Drug Offences,4.0
Cannington District,10,Other Fire Related Offences,0.0
Cannington District,10,Possess Stolen Property,157.0
Cannington District,10,Possess Weapon to Cause Fear (Family),11.0
Cannington District,10,Possess Weapon to Cause Fear (Non-Family),107.0
Cannington District,10,Possession of Drug Paraphernalia,275.0
Cannington District,10,Receiving Stolen Property,44.0
Cannington District,10,Regulated Weapons Offences,129.0
Cannington District,10,Robbery (Business),23.0
Cannington District,10,Robbery (Non-Business),281.0
Cannington District,10,Serious Assault (Family),179.0
Cannington District,10,Serious Assault (Non-Family),342.0
Cannington District,10,Sexual Assault,176.0
Cannington District,10,Stealing (Not Elsewhere Classified),7065.0
Cannington District,10,Stealing From Dwelling,0.0
Cannington District,10,Stealing From Motor Vehicle (Contents or Parts),0.0
Cannington District,10,Stealing From Other Premises or Place,0.0
Cannington District,10,Stealing From Retail Premises (Shoplift),0.0
Cannington District,10,Stealing as a Servant,50.0
Cannington District,10,Stealing of Motor Vehicle,747.0
Cannington District,10,Threatening Behaviour (Family),71.0
Cannington District,10,Threatening Behaviour (Non-Family),142.0
Cannington District,11,Assault Police Officer,42.0
Cannington District,11,Attempted / Conspiracy to Murder,4.0
Cannington District,11,Breach of Family Violence Restraint Order,524.0
Cannington District,11,Breach of Police Order,91.0
Cannington District,11,Breach of Violence Restraint Order,98.0
Cannington District,11,Burglary (Dwelling),3814.0
Cannington District,11,Burglary (Non-Dwelling),769.0
Cannington District,11,Cause Bushfire,2.0
